Elementor Ч конструктор сайтов;https://ru.wordpress.org/plugins/elementor/;¬ конструкторе сайтов Elementor есть всЄ: визуальный конструктор страниц работающий на принципе перетащи и вставь,Е;6.1.1
Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;¬ключает предыдущую Ђклассическуюї версию редактора и экран редактировани€ записей в старом стиле, с TinyMCE, пол€миЕ;6.1.1
Slider by Soliloquy Ч Responsive Image Slider for WordPress;https://ru.wordpress.org/plugins/soliloquy-lite/;The best WordPress slider plugin. Drag & Drop responsive slider builder that helps you createЕ;6.1.1
FAQ Block;https://ru.wordpress.org/plugins/faq-block/;ќчень простой и пон€тный блок Gutenberg дл€ FAQ (часто задаваемые вопросы).;6.0.3
CP Contact Form with PayPal;https://ru.wordpress.org/plugins/cp-contact-form-with-paypal/;PayPal integration for contact forms, payment forms, order forms. Adds a contact form and connectЕ;6.1.1
Snow Monkey Editor;https://ru.wordpress.org/plugins/snow-monkey-editor/;The Snow Monkey Editor is a plugin that extends the block editor.;6.1.1
Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;¬ключает предыдущую Ђклассическуюї версию редактора и экран редактировани€ записей в старом стиле, с TinyMCE, пол€миЕ;6.1.1
Akismet Spam Protection;https://ru.wordpress.org/plugins/akismet/;Ћучша€ защита от спама дл€ блокировки спам-комментариев и спама в контактной форме. —амое надежное решениеЕ;6.1.1
Jetpack предназначен дл€ защиты, резервного копировани€, повышени€ скорости работы и развити€ вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;ќбеспечьте дополнительную защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копировани€ и проверкиЕ;6.1.1
Classic Widgets;https://ru.wordpress.org/plugins/classic-widgets/;¬ключает экраны настройки классических виджетов в ¬нешний вид Ч ¬иджеты и интерфейс настройки темы. ќтключаетЕ;6.1.1
Plugin Dependencies;https://ru.wordpress.org/plugins/wp-plugin-dependencies/;Parses a 'Requires Plugins' header and adds a Dependencies tab in the plugin install page.Е;6.2
Gutenberg;https://ru.wordpress.org/plugins/gutenberg/;ѕлагин Gutenberg предоставл€ет функции редактировани€, настройки и построени€ сайтов на WordPress. Ётот бета-плагин позвол€ет отработатьЕ;6.1.1
Performance Lab;https://ru.wordpress.org/plugins/performance-lab/;ѕлагин производительности от ЂWordPress Performance Teamї, который содержит набор автономных модулей производительности.;6.1.1
Two-Factor;https://ru.wordpress.org/plugins/two-factor/;¬ключить двухфакторную аутентификацию с использованием одноразовых паролей (OTP, Google Authenticator), ”ниверсальный 2-й фактор (FIDO U2F,Е;6.0.3
Contact Form 7;https://ru.wordpress.org/plugins/contact-form-7/;≈щЄ один плагин контактных форм. ѕростой, но гибкий.;6.1.1
Yoast SEO;https://ru.wordpress.org/plugins/wordpress-seo/;”лучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощьюЕ;6.1.1
Elementor Ч конструктор сайтов;https://ru.wordpress.org/plugins/elementor/;¬ конструкторе сайтов Elementor есть всЄ: визуальный конструктор страниц работающий на принципе перетащи и вставь,Е;6.1.1
Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;¬ключает предыдущую Ђклассическуюї версию редактора и экран редактировани€ записей в старом стиле, с TinyMCE, пол€миЕ;6.1.1
Unlimited Blocks Ч WordPress Gutenberg Blocks and WooCommerce Blocks;https://ru.wordpress.org/plugins/unlimited-blocks/;Unlimited Blocks is the editor blocks that are used to create content layouts that youЕ;6.1.1
Elegant Blocks Ч Amazing Gutenberg Blocks;https://ru.wordpress.org/plugins/elegant-blocks/;A collection of beautiful and ready-to-use blocks for the new WordPress editor;5.3.14
Conditional Blocks Ч Content Visibility Control for Full Site Editing;https://ru.wordpress.org/plugins/conditional-blocks/;Conditionally show or hide ANY WordPress blocks! Change the visibility of content block and widgetsЕ;6.1.1
Product Slider Block for WooCommerce;https://ru.wordpress.org/plugins/woo-product-slider-block/;Simple slider that slides your woocommerce Products;5.2.17
Enhanced AJAX Add to Cart for WooCommerce;https://ru.wordpress.org/plugins/enhanced-ajax-add-to-cart-for-woocommerce/;Add variable & other products to cart using a lightweight, smart, and flexible Add toЕ;5.7.8
Image Gallery Block;https://ru.wordpress.org/plugins/image-gallery-block/;ѕроизведите впечатление на свою аудиторию красивой галереей изображений с лайтбоксами.;6.0.3
Infobox;https://ru.wordpress.org/plugins/infobox/;Deliver your content beautifully to grab attention with an animated Infobox block.;6.1.1
Image Optimizer, Resizer and CDN Ч Sirv;https://ru.wordpress.org/plugins/sirv/;Serve perfectly optimized images from the fastest WordPress CDN plugin. Image hosting with deep imageЕ;6.1.1
Gosign Ч Gallery box Block;https://ru.wordpress.org/plugins/gosign-gallery-box-block/;Ѕлок дл€ создани€ галереи в редакторе блоков, опционально поддерживает предпросмотр изображений в Lightbox, Lightbox, быстроеЕ;6.0.3
Social Media Feed For Instagram Ч Social Feed;https://ru.wordpress.org/plugins/wp-instagram-feed-awplife/;"The ""Social Media Feed plugin for Instagram"" is a simple and elegant plugin for displayingЕ";6.1.1
Avatar Privacy;https://ru.wordpress.org/plugins/avatar-privacy/;ѕовысьте конфиденциальность ваших пользователей и посетителей с помощью граватара и локальных аватаров.;5.9.5
Editor Blocks for Gutenberg;https://ru.wordpress.org/plugins/editor-blocks/;A unique collection of Gutenberg blocks.;5.5.11
Builder Template Categories Ч for WordPress Page Builders;https://ru.wordpress.org/plugins/builder-template-categories/;Organize your Page Builder Templates in the WordPress Admin. Better overview, don't get lost. TimeЕ;5.3.14
Animated Blocks on Scroll;https://ru.wordpress.org/plugins/animated-blocks/;Add scroll based animations to WordPress Gutenberg blocks.;5.9.5
Unlimited Blocks Ч WordPress Gutenberg Blocks and WooCommerce Blocks;https://ru.wordpress.org/plugins/unlimited-blocks/;Unlimited Blocks is the editor blocks that are used to create content layouts that youЕ;6.1.1
Elegant Blocks Ч Amazing Gutenberg Blocks;https://ru.wordpress.org/plugins/elegant-blocks/;A collection of beautiful and ready-to-use blocks for the new WordPress editor;5.3.14
Conditional Blocks Ч Content Visibility Control for Full Site Editing;https://ru.wordpress.org/plugins/conditional-blocks/;Conditionally show or hide ANY WordPress blocks! Change the visibility of content block and widgetsЕ;6.1.1
Product Slider Block for WooCommerce;https://ru.wordpress.org/plugins/woo-product-slider-block/;Simple slider that slides your woocommerce Products;5.2.17
Enhanced AJAX Add to Cart for WooCommerce;https://ru.wordpress.org/plugins/enhanced-ajax-add-to-cart-for-woocommerce/;Add variable & other products to cart using a lightweight, smart, and flexible Add toЕ;5.7.8
Image Gallery Block;https://ru.wordpress.org/plugins/image-gallery-block/;ѕроизведите впечатление на свою аудиторию красивой галереей изображений с лайтбоксами.;6.0.3
Infobox;https://ru.wordpress.org/plugins/infobox/;Deliver your content beautifully to grab attention with an animated Infobox block.;6.1.1
Image Optimizer, Resizer and CDN Ч Sirv;https://ru.wordpress.org/plugins/sirv/;Serve perfectly optimized images from the fastest WordPress CDN plugin. Image hosting with deep imageЕ;6.1.1
Gosign Ч Gallery box Block;https://ru.wordpress.org/plugins/gosign-gallery-box-block/;Ѕлок дл€ создани€ галереи в редакторе блоков, опционально поддерживает предпросмотр изображений в Lightbox, Lightbox, быстроеЕ;6.0.3
Social Media Feed For Instagram Ч Social Feed;https://ru.wordpress.org/plugins/wp-instagram-feed-awplife/;"The ""Social Media Feed plugin for Instagram"" is a simple and elegant plugin for displayingЕ";6.1.1
Avatar Privacy;https://ru.wordpress.org/plugins/avatar-privacy/;ѕовысьте конфиденциальность ваших пользователей и посетителей с помощью граватара и локальных аватаров.;5.9.5
Editor Blocks for Gutenberg;https://ru.wordpress.org/plugins/editor-blocks/;A unique collection of Gutenberg blocks.;5.5.11
Builder Template Categories Ч for WordPress Page Builders;https://ru.wordpress.org/plugins/builder-template-categories/;Organize your Page Builder Templates in the WordPress Admin. Better overview, don't get lost. TimeЕ;5.3.14
Animated Blocks on Scroll;https://ru.wordpress.org/plugins/animated-blocks/;Add scroll based animations to WordPress Gutenberg blocks.;5.9.5
Unlimited Blocks Ч WordPress Gutenberg Blocks and WooCommerce Blocks;https://ru.wordpress.org/plugins/unlimited-blocks/;Unlimited Blocks is the editor blocks that are used to create content layouts that youЕ;6.1.1
Elegant Blocks Ч Amazing Gutenberg Blocks;https://ru.wordpress.org/plugins/elegant-blocks/;A collection of beautiful and ready-to-use blocks for the new WordPress editor;5.3.14
Conditional Blocks Ч Content Visibility Control for Full Site Editing;https://ru.wordpress.org/plugins/conditional-blocks/;Conditionally show or hide ANY WordPress blocks! Change the visibility of content block and widgetsЕ;6.1.1
Product Slider Block for WooCommerce;https://ru.wordpress.org/plugins/woo-product-slider-block/;Simple slider that slides your woocommerce Products;5.2.17
Enhanced AJAX Add to Cart for WooCommerce;https://ru.wordpress.org/plugins/enhanced-ajax-add-to-cart-for-woocommerce/;Add variable & other products to cart using a lightweight, smart, and flexible Add toЕ;5.7.8
Image Gallery Block;https://ru.wordpress.org/plugins/image-gallery-block/;ѕроизведите впечатление на свою аудиторию красивой галереей изображений с лайтбоксами.;6.0.3
Infobox;https://ru.wordpress.org/plugins/infobox/;Deliver your content beautifully to grab attention with an animated Infobox block.;6.1.1
Image Optimizer, Resizer and CDN Ч Sirv;https://ru.wordpress.org/plugins/sirv/;Serve perfectly optimized images from the fastest WordPress CDN plugin. Image hosting with deep imageЕ;6.1.1
Gosign Ч Gallery box Block;https://ru.wordpress.org/plugins/gosign-gallery-box-block/;Ѕлок дл€ создани€ галереи в редакторе блоков, опционально поддерживает предпросмотр изображений в Lightbox, Lightbox, быстроеЕ;6.0.3
Social Media Feed For Instagram Ч Social Feed;https://ru.wordpress.org/plugins/wp-instagram-feed-awplife/;"The ""Social Media Feed plugin for Instagram"" is a simple and elegant plugin for displayingЕ";6.1.1
Avatar Privacy;https://ru.wordpress.org/plugins/avatar-privacy/;ѕовысьте конфиденциальность ваших пользователей и посетителей с помощью граватара и локальных аватаров.;5.9.5
Editor Blocks for Gutenberg;https://ru.wordpress.org/plugins/editor-blocks/;A unique collection of Gutenberg blocks.;5.5.11
Builder Template Categories Ч for WordPress Page Builders;https://ru.wordpress.org/plugins/builder-template-categories/;Organize your Page Builder Templates in the WordPress Admin. Better overview, don't get lost. TimeЕ;5.3.14
Animated Blocks on Scroll;https://ru.wordpress.org/plugins/animated-blocks/;Add scroll based animations to WordPress Gutenberg blocks.;5.9.5
Gutenberg Blocks Templates Ч 50+ Free Gutenberg Block Designs;https://ru.wordpress.org/plugins/design/; Default Gutenberg Blocks beautifully arranged in ready-to-use design sections.  One-click import.  50+Е;5.1.15
Countdown Block;https://ru.wordpress.org/plugins/wp-countdown-block/;Create a fear of missing out or urgency on your site or build a comingЕ;5.8.0
Responsive iframe;https://ru.wordpress.org/plugins/responsive-iframe/;Lets you place Iframes into your posts that will resize dynamically to maintain the sameЕ;5.8.6
WP eBay Product Feeds;https://ru.wordpress.org/plugins/ebay-feeds-for-wordpress/;Display feeds of eBay Products from eBay Partner Network on your site.;6.1.1
Simple Block Gallery;https://ru.wordpress.org/plugins/simple-block-gallery/;Add the effect of Masonry and Slider to images.;6.1.1
Syntax-highlighting Code Block (with Server-side Rendering);https://ru.wordpress.org/plugins/syntax-highlighting-code-block/;Extending the Code block with syntax highlighting rendered on the server, thus being AMP-compatible andЕ;6.1.1
